symbol,metric,gap_direction,real_value,synthetic_value,synthetic_to_real_ratio,proposed_action,proposed_raw_multiplier,implementation_rationale
TECHM,median_abs_l1_imbalance,synthetic_too_low,0.6256684491978609,0.125,0.1997863247863248,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
WIPRO,median_abs_l1_imbalance,synthetic_too_low,0.7019619685292031,0.096045197740113,0.1368239335549092,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
BAJAJ-AUTO,median_l1_depth,synthetic_too_high,61.0,806.0,13.21311475409836,add_symbol_depth_scale_override,0.07568238213399504,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
BRITANNIA,median_l1_depth,synthetic_too_high,35.0,802.0,22.914285714285715,add_symbol_depth_scale_override,0.043640897755610975,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
GOLDBEES,median_l1_depth,synthetic_too_low,11211.5,800.0,0.0713553048209427,add_symbol_depth_scale_override,14.014375,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
ITBEES,median_l1_depth,synthetic_too_low,134432.0,802.0,0.0059658414663175,add_symbol_depth_scale_override,167.6209476309227,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
M&M,median_l1_depth,synthetic_too_high,47.0,806.0,17.148936170212767,add_symbol_depth_scale_override,0.05831265508684864,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
MARUTI,median_l1_depth,synthetic_too_high,40.0,806.0,20.15,add_symbol_depth_scale_override,0.04962779156327544,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
ULTRACEMCO,median_l1_depth,synthetic_too_high,30.0,808.0,26.933333333333334,add_symbol_depth_scale_override,0.03712871287128713,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
BAJAJ-AUTO,median_l5_depth,synthetic_too_high,366.0,6852.5,18.72267759562841,add_symbol_depth_scale_override,0.0534111638088289,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
BRITANNIA,median_l5_depth,synthetic_too_high,406.5,6816.0,16.767527675276753,add_symbol_depth_scale_override,0.05963908450704225,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
GOLDBEES,median_l5_depth,synthetic_too_low,95705.5,6800.0,0.0710512979922784,add_symbol_depth_scale_override,14.074338235294118,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
ITBEES,median_l5_depth,synthetic_too_low,2152154.5,6816.0,0.0031670588705411,add_symbol_depth_scale_override,315.75036678403757,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
ITC,median_l5_depth,synthetic_too_low,113657.0,6800.0,0.0598291350290787,add_symbol_depth_scale_override,16.714264705882353,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
LT,median_l5_depth,synthetic_too_high,481.0,6850.0,14.241164241164242,add_symbol_depth_scale_override,0.07021897810218979,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
M&M,median_l5_depth,synthetic_too_high,447.0,6850.0,15.324384787472036,add_symbol_depth_scale_override,0.06525547445255475,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
MARUTI,median_l5_depth,synthetic_too_high,411.0,6851.0,16.669099756690997,add_symbol_depth_scale_override,0.05999124215443001,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
ULTRACEMCO,median_l5_depth,synthetic_too_high,309.0,6868.0,22.22653721682848,add_symbol_depth_scale_override,0.04499126383226558,Displayed book depth differs by symbol/instrument class; apply symbol-level quantity scale before dense audit.
ADANIPORTS,p90_gap_ms,synthetic_too_low,439477.0,692.0,0.0015745988982358,add_symbol_tail_idle_cadence_model,635.0823699421966,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
AXISBANK,p90_gap_ms,synthetic_too_low,305452.6999999952,692.0,0.0022654898778109,add_symbol_tail_idle_cadence_model,441.4056358381433,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
BHARTIARTL,p90_gap_ms,synthetic_too_low,3949.100000000017,692.0,0.1752297991947524,add_symbol_tail_idle_cadence_model,5.706791907514476,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
BPCL,p90_gap_ms,synthetic_too_low,448824.0,692.0,0.0015418070334919,add_symbol_tail_idle_cadence_model,648.5895953757225,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
BRITANNIA,p90_gap_ms,synthetic_too_low,450022.8,692.0,0.0015376998676511,add_symbol_tail_idle_cadence_model,650.3219653179191,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
CIPLA,p90_gap_ms,synthetic_too_low,447131.6,692.0,0.0015476427968857,add_symbol_tail_idle_cadence_model,646.1439306358382,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
DRREDDY,p90_gap_ms,synthetic_too_low,446827.0,692.0,0.0015486978181712,add_symbol_tail_idle_cadence_model,645.7037572254335,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
GOLDBEES,p90_gap_ms,synthetic_too_low,439314.2,692.0,0.0015751824093097,add_symbol_tail_idle_cadence_model,634.8471098265896,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
HINDUNILVR,p90_gap_ms,synthetic_too_low,442440.00000000006,692.0,0.0015640538830123,add_symbol_tail_idle_cadence_model,639.3641618497111,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
ITBEES,p90_gap_ms,synthetic_too_low,446257.6,692.0,0.0015506738708763,add_symbol_tail_idle_cadence_model,644.8809248554913,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
ITC,p90_gap_ms,synthetic_too_low,443821.1,692.0,0.0015591867984645,add_symbol_tail_idle_cadence_model,641.3599710982659,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
JUNIORBEES,p90_gap_ms,synthetic_too_low,4750.0,692.0,0.1456842105263157,add_symbol_tail_idle_cadence_model,6.864161849710983,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
KOTAKBANK,p90_gap_ms,synthetic_too_low,6375.0,692.0,0.1085490196078431,add_symbol_tail_idle_cadence_model,9.21242774566474,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
LT,p90_gap_ms,synthetic_too_low,3750.7,692.0,0.1844988935398725,add_symbol_tail_idle_cadence_model,5.420086705202312,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
NESTLEIND,p90_gap_ms,synthetic_too_low,443603.8,692.0,0.0015599505685027,add_symbol_tail_idle_cadence_model,641.0459537572254,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
ONGC,p90_gap_ms,synthetic_too_low,4016.999999999999,692.0,0.1722678615882499,add_symbol_tail_idle_cadence_model,5.804913294797687,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
SUNPHARMA,p90_gap_ms,synthetic_too_low,436729.0,692.0,0.0015845066391286,add_symbol_tail_idle_cadence_model,631.1112716763006,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
TECHM,p90_gap_ms,synthetic_too_low,3499.7,692.0,0.1977312341057805,add_symbol_tail_idle_cadence_model,5.057369942196532,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
ULTRACEMCO,p90_gap_ms,synthetic_too_low,450515.3,692.0,0.001536018865508,add_symbol_tail_idle_cadence_model,651.0336705202312,"Median cadence is mostly inside gate, so p90 gaps need symbol-specific idle/tail spacing rather than one global multiplier."
