strategy_id,strategy_name,baseline,promotion_allowed_now,current_evidence_label
S05,Microprice entry/exit filter,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,opening_range_breakout,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,vwap_continuation,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,volatility_breakout,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,opening_range_breakout,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,vwap_continuation,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,volatility_breakout,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,opening_range_breakout,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,vwap_continuation,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,volatility_breakout,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,opening_range_breakout,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,vwap_continuation,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,volatility_breakout,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,opening_range_breakout,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,vwap_continuation,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,volatility_breakout,False,engineering_and_within_day_falsification_only
S10,Passive market making,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S10,Passive market making,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S10,Passive market making,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S10,Passive market making,opening_range_breakout,False,engineering_and_within_day_falsification_only
S10,Passive market making,vwap_continuation,False,engineering_and_within_day_falsification_only
S10,Passive market making,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S10,Passive market making,volatility_breakout,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,opening_range_breakout,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,vwap_continuation,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,volatility_breakout,False,engineering_and_within_day_falsification_only
