trade_date,exchange,symbol,raw_rows,criterion_id,computable_evidence_available,acceptance_requirement_met,current_evidence,remaining_gap,phase35_status
2026-07-13,NSE,BHARTIARTL,19560,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,BHARTIARTL,19560,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,BPCL,10684,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BPCL,10684,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,BPCL,10684,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BPCL,10684,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,BPCL,10684,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,BPCL,10684,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,BRITANNIA,8526,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BRITANNIA,8526,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,BRITANNIA,8526,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BRITANNIA,8526,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,BRITANNIA,8526,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,BRITANNIA,8526,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,CIPLA,11664,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,CIPLA,11664,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,CIPLA,11664,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,CIPLA,11664,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,CIPLA,11664,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,CIPLA,11664,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,DRREDDY,12257,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,DRREDDY,12257,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,DRREDDY,12257,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,DRREDDY,12257,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,DRREDDY,12257,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,DRREDDY,12257,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,GOLDBEES,12982,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,GOLDBEES,12982,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,GOLDBEES,12982,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,GOLDBEES,12982,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,GOLDBEES,12982,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,GOLDBEES,12982,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,HCLTECH,29266,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,HCLTECH,29266,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,HCLTECH,29266,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,HCLTECH,29266,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,HCLTECH,29266,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,HCLTECH,29266,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,HDFCBANK,35959,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,HDFCBANK,35959,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,HDFCBANK,35959,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,HDFCBANK,35959,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,HDFCBANK,35959,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,HDFCBANK,35959,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,HINDUNILVR,12173,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,HINDUNILVR,12173,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,HINDUNILVR,12173,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,HINDUNILVR,12173,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,HINDUNILVR,12173,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,HINDUNILVR,12173,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,ICICIBANK,26474,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ICICIBANK,26474,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,ICICIBANK,26474,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ICICIBANK,26474,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,ICICIBANK,26474,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,ICICIBANK,26474,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,INFY,34511,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,INFY,34511,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,INFY,34511,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,INFY,34511,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,INFY,34511,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,INFY,34511,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,ITBEES,11481,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ITBEES,11481,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,ITBEES,11481,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ITBEES,11481,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,ITBEES,11481,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,ITBEES,11481,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,ITC,12379,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ITC,12379,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,ITC,12379,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ITC,12379,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,ITC,12379,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,ITC,12379,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,JUNIORBEES,17442,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,JUNIORBEES,17442,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,JUNIORBEES,17442,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,JUNIORBEES,17442,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,JUNIORBEES,17442,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,JUNIORBEES,17442,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,KOTAKBANK,14091,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,KOTAKBANK,14091,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,KOTAKBANK,14091,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,KOTAKBANK,14091,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,KOTAKBANK,14091,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,KOTAKBANK,14091,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,LT,19466,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,LT,19466,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,LT,19466,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,LT,19466,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,LT,19466,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,LT,19466,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,M&M,25699,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,M&M,25699,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,M&M,25699,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,M&M,25699,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,M&M,25699,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,M&M,25699,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,MARUTI,27645,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,MARUTI,27645,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,MARUTI,27645,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,MARUTI,27645,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,MARUTI,27645,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,MARUTI,27645,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,NESTLEIND,12918,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,NESTLEIND,12918,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,NESTLEIND,12918,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,NESTLEIND,12918,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,NESTLEIND,12918,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,NESTLEIND,12918,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,NIFTYBEES,22414,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,NIFTYBEES,22414,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,NIFTYBEES,22414,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,NIFTYBEES,22414,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,NIFTYBEES,22414,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,NIFTYBEES,22414,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,ONGC,17305,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ONGC,17305,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,ONGC,17305,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ONGC,17305,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,ONGC,17305,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,ONGC,17305,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,RELIANCE,26056,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,RELIANCE,26056,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,RELIANCE,26056,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,RELIANCE,26056,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
